"name","categoryId","categoryName"
"Mardin M523G","cmmlge0b200019gu54iznydxb","Classic"
"Mardin M523F","cmmlge0b200019gu54iznydxb","Classic"
"Mardin M509G","cmmlge0b200019gu54iznydxb","Classic"
"Mardin M509F","cmmlge0b200019gu54iznydxb","Classic"
"Mardin M509C","cmmlge0b200019gu54iznydxb","Classic"
"Mardin M508G","cmmlge0b200019gu54iznydxb","Classic"
"Mardin M507G","cmmlge0b200019gu54iznydxb","Classic"
"Mardin M506H","cmmlge0b200019gu54iznydxb","Classic"
"Mardin M505C","cmmlge0b200019gu54iznydxb","Classic"
"Mardin M504G","cmmlge0b200019gu54iznydxb","Classic"
"Mardin M504C","cmmlge0b200019gu54iznydxb","Classic"
"Mardin M503G","cmmlge0b200019gu54iznydxb","Classic"
"Mardin M503E","cmmlge0b200019gu54iznydxb","Classic"
"Mardin M502C","cmmlge0b200019gu54iznydxb","Classic"
"Mardin M501G","cmmlge0b200019gu54iznydxb","Classic"
"Mardin M501F","cmmlge0b200019gu54iznydxb","Classic"
"Zeugma Z054J","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z054G","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z054F","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z054E","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z054C","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z054A","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z053J","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z053G","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z053F","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z053E","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z053C","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z053A","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z052J","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z052G","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z052F","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z052E","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z052C","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z051J","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z051G","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z051F","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z051E","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z051C","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z051A","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z050J","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z050I","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z050H","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z050F","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z050E","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z050C","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z050A","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z049K","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z049I","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z049G","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z049F","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z049C","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z049A","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z048K","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z048I","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z048G","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z048F","cmmlge0bi00059gu5wwfbf6wa","Oriental"
"Zeugma Z048E","cmmlge0bi00059gu5wwfbf6wa","Oriental"
